RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
71.9531682,57.2596513,10.475,1.743,2.969,9.3344,22.4497,3.36,nan,nan,22.773,K7.2,0.000176,0.99,1.057,nan,None
50.9847963,34.9999021,17.437,3.391,2.008,17.3791,22.4602,4.34,nan,nan,13.670,M5.1,nan,nan,0.901,nan,None
74.1752798,50.7045287,13.698,2.540,3.641,6.0423,22.6152,4.18,nan,nan,23.423,M3.1,nan,0.38,1.225,nan,None
56.9656801,30.8831714,10.417,1.173,3.522,19.0107,22.7231,5.09,20.08,0.25,14.357,K2.6,nan,0.02,1.136,nan,Gaia DR2
77.4083997,60.9350296,15.889,3.323,4.421,13.9304,22.7449,3.05,nan,nan,21.680,M4.9,nan,0.39,1.033,nan,None
57.3492107,67.1856467,14.891,3.086,3.511,18.8049,23.1365,1.76,nan,nan,14.037,M4.3,nan,0.32,7.240,nan,None
90.4943935,57.0663953,13.431,2.176,2.209,17.1464,23.5809,3.71,20.74,1.63,13.220,M1.5,nan,0.20,1.252,nan,Gaia DR2
36.8600200,43.3064887,16.771,3.695,4.940,20.3432,23.7326,2.60,nan,nan,18.891,M5.6,nan,nan,1.078,nan,None
82.7581042,35.6992502,17.135,3.482,0.750,18.3393,23.8028,5.96,nan,nan,13.566,M5.3,nan,nan,0.997,nan,None
51.8531690,65.5606848,17.468,3.598,4.717,18.1635,23.9119,1.73,nan,nan,13.462,M5.5,nan,nan,1.011,0.018,None
62.6745345,28.5964377,12.139,2.021,3.045,20.3223,23.9553,5.64,-9.87,0.49,19.150,M0.7,0.000039,0.16,1.060,nan,Gaia DR2
79.1353625,32.4072141,15.551,2.904,1.662,19.4248,23.9903,6.15,nan,nan,13.966,M3.9,nan,0.64,0.993,nan,None
84.7634308,32.4812781,12.207,1.917,2.108,21.9035,24.1063,6.29,nan,nan,16.647,M0.4,0.000071,0.06,1.129,nan,None
68.2529611,31.0668310,17.439,3.978,4.759,17.8950,24.2730,5.79,nan,nan,13.253,M6.0,0.000974,nan,1.024,nan,None
53.3446707,28.6762928,13.872,2.977,3.809,22.1282,24.3460,4.95,nan,nan,16.569,M4.1,0.000156,0.30,1.177,0.027,None
84.2743833,41.8284599,17.541,3.690,1.507,15.0163,24.5300,5.39,nan,nan,22.479,M5.6,nan,nan,1.039,0.018,None
61.0708249,66.1161833,13.886,2.701,4.856,17.4344,24.6064,2.00,nan,nan,21.522,M3.5,0.000037,0.31,1.175,nan,None
54.1362619,28.3320233,14.245,2.313,3.795,22.2080,24.6089,5.04,nan,nan,15.915,M2.3,nan,0.24,1.106,nan,None
100.0691451,54.8149239,9.442,0.944,4.640,22.0711,24.7594,3.98,-0.55,0.87,15.450,G8.9,0.002795,-0.01,9.906,0.035,Gaia DR2
43.0946204,33.7202591,13.812,2.776,3.312,22.3425,24.7878,3.75,nan,nan,17.715,M3.6,0.000066,0.35,13.320,nan,None
44.8405710,32.7602030,11.662,2.043,4.422,22.1633,24.8677,3.97,-13.34,0.58,18.204,M0.8,0.000044,0.16,2.933,nan,Gaia DR2
66.1403290,57.5339608,13.935,2.352,2.344,8.7292,24.8687,3.14,nan,nan,11.531,M2.5,nan,0.20,1.079,nan,None
63.6206521,46.2510883,13.593,2.112,2.028,2.8024,24.8980,4.22,nan,nan,11.206,M1.1,nan,0.15,1.131,nan,None
