# Wavelength[nm]	g'	r'	Asahi i	z_s
1002	0.002161645	0.000283223	-0.000298138	0.002252541
1001.5	0.002191414	0.000274232	-0.000959266	0.002274719
1001	0.002226976	0.000262216	0.000835499	0.002095634
1000.5	0.002335486	0.000340301	0.000203208	0.002003983
1000	0.00231507	0.000238674	1.86E-06	0.001903139
999.5	0.002573806	0.00030813	0.001047329	0.001703887
999	0.002634975	0.000348139	0.00105397	0.001537618
998.5	0.002865601	0.00038618	-3.50E-05	0.001473579
998	0.002922513	0.000295462	0.000128389	0.001179038
997.5	0.003249943	0.000417224	0.000609746	0.001251293
997	0.003426321	0.000275362	-0.000197667	0.001131916
996.5	0.003608111	0.000273382	-0.000585976	0.000912251
996	0.004000027	0.000408915	0.001128263	0.000921701
995.5	0.004306353	0.000345713	0.001222846	0.000853595
995	0.004551801	0.000412563	0.000740878	0.00083123
994.5	0.004917381	0.00039758	-0.000932379	0.000648333
994	0.005442403	0.000546679	0.000936297	0.000814243
993.5	0.005746088	0.000446396	0.000532486	0.000798469
993	0.006041182	0.000410992	-0.000646151	0.00064374
992.5	0.006527138	0.000494091	-0.000158685	0.000668823
992	0.006836509	0.000530454	0.000905213	0.000582356
991.5	0.007242964	0.000646582	-2.09E-05	0.000602283
991	0.007414307	0.000650948	-0.000397475	0.000633107
990.5	0.007592914	0.000671443	-0.000265616	0.00064397
990	0.007732777	0.000761897	0.001050184	0.000613746
989.5	0.00771557	0.000724315	0.001163157	0.000564777
989	0.00784906	0.000826701	0.000202535	0.000602822
988.5	0.007786911	0.000872244	1.97E-05	0.000663609
988	0.007766171	0.000849208	0.001076852	0.000653375
987.5	0.007818165	0.000890033	0.000167534	0.000673639
987	0.007754216	0.000888043	-6.32E-05	0.000678465
986.5	0.007763707	0.000889234	0.000725334	0.000759343
986	0.007830796	0.000756769	0.000855791	0.000761945
985.5	0.007849229	0.000654786	-0.000424546	0.000669292
985	0.007928508	0.000665284	0.000235709	0.000822209
984.5	0.008114353	0.000640647	0.000456566	0.000827679
984	0.008246937	0.000556981	0.00092637	0.000929836
983.5	0.008339473	0.000548667	0.000689282	0.000880589
983	0.008578051	0.00044157	-0.000308709	0.000974863
982.5	0.008828817	0.000551058	6.61E-05	0.001232513
982	0.00896304	0.000549908	0.00079941	0.001240753
981.5	0.008935049	0.000573754	-0.000374039	0.001346442
981	0.008644161	0.00040519	0.000335985	0.001413538
980.5	0.008290771	0.000395935	-8.10E-05	0.00159207
980	0.007803522	0.000455082	-0.00015255	0.001719332
979.5	0.007186019	0.000341528	-0.000216216	0.00190189
979	0.006551601	0.000442047	-0.000781763	0.002079518
978.5	0.00569832	0.000287716	0.000606984	0.00210657
978	0.005033402	0.000429586	0.000510674	0.002288831
977.5	0.004228285	0.000338086	-0.000585116	0.002232238
977	0.003708775	0.000419208	0.001102366	0.002453955
976.5	0.003127907	0.0003141	-0.000368109	0.002313777
976	0.002629251	0.000278325	6.01E-05	0.002334212
975.5	0.002226886	0.000423529	-0.000927075	0.002311021
975	0.00205668	0.000449945	0.000860501	0.00224682
974.5	0.001661072	0.000484591	-0.000176176	0.002305406
974	0.001523161	0.000496142	-0.000383631	0.002131532
973.5	0.001329744	0.000484862	-1.13E-05	0.001998765
973	0.001126062	0.000529336	0.001193443	0.002038864
972.5	0.000953752	0.000605247	4.68E-05	0.00188102
972	0.000949703	0.000736887	0.000528522	0.001977582
971.5	0.00090382	0.000715807	0.000564779	0.001873792
971	0.00084522	0.000747883	-0.000317017	0.001838359
970.5	0.000703225	0.000683944	0.00050699	0.001764242
970	0.000608161	0.000687779	0.001313334	0.001749166
969.5	0.000627952	0.000643288	0.000942716	0.001866662
969	0.000515434	0.000584853	0.000418313	0.001719765
968.5	0.000534221	0.000551078	-0.001238417	0.001837055
968	0.00059525	0.00058208	-3.66E-05	0.001880183
967.5	0.000543448	0.000580659	0.000288273	0.001930226
967	0.000480661	0.000387338	0.000242473	0.001887715
966.5	0.0004479	0.00028709	0.000301372	0.002017725
966	0.000434768	0.000273428	0.000239914	0.002056498
965.5	0.000356195	0.000235206	4.54E-05	0.002205297
965	0.0004069	0.000244173	0.000519163	0.002228254
964.5	0.000355795	0.00014875	0.000289559	0.002521193
964	0.000323745	0.000129165	0.000399699	0.002664863
963.5	0.000357737	0.000161462	0.000267586	0.002979658
963	0.000317101	0.00010238	0.000409234	0.003194493
962.5	0.000337251	7.49E-05	-7.06E-05	0.003524364
962	0.000430804	0.000223616	0.000292876	0.004011185
961.5	0.000354982	0.000166298	0.001196129	0.004544037
961	0.000399856	0.00016083	0.000345951	0.005014822
960.5	0.000353648	6.54E-05	0.000526681	0.005639341
960	0.00038309	0.000120534	-0.000116927	0.006207704
959.5	0.000396368	0.000134948	0.000990448	0.006891192
959	0.000345943	6.23E-05	0.000240456	0.007602707
958.5	0.000325676	0.000158746	0.000830465	0.008192496
958	0.000539026	0.000150343	0.000433329	0.008783831
957.5	0.000398794	0.000100557	1.22E-05	0.008985138
957	0.000476756	0.000193213	-7.12E-05	0.009103835
956.5	0.000593414	0.000171415	-0.00015734	0.009043918
956	0.000477592	0.000207975	0.000250466	0.008573316
955.5	0.000461302	3.05E-05	0.001002455	0.008074947
955	0.000542452	0.000233421	-0.000484979	0.007513419
954.5	0.000412972	-2.78E-06	0.000336589	0.006983098
954	0.000563157	7.07E-05	0.000611449	0.006449771
953.5	0.000545753	0.000209978	0.00201471	0.005959396
953	0.000480402	4.96E-05	0.000826656	0.00549313
952.5	0.000624014	0.000123199	0.001098586	0.005070899
952	0.000538755	7.15E-05	0.000193246	0.004705909
951.5	0.000590819	8.58E-05	-0.001076976	0.004493084
951	0.000633518	8.31E-05	0.00071879	0.004182531
950.5	0.000603952	0.000110961	0.000358699	0.003908532
950	0.000643157	0.000165502	0.001308851	0.003820784
949.5	0.000701103	0.000234011	-6.15E-05	0.003795034
949	0.00068162	0.00024414	0.00018931	0.003610527
948.5	0.000717308	0.000117176	-0.000197364	0.003440978
948	0.000686535	0.000191701	0.000570079	0.003436317
947.5	0.000689056	0.000183307	-1.93E-05	0.003383221
947	0.000755121	0.000151971	0.000985142	0.003364011
946.5	0.000799689	0.000241118	0.000428912	0.003335426
946	0.000799125	0.000365765	-0.000190186	0.003452184
945.5	0.00091307	0.000437112	0.000127139	0.003500086
945	0.000802839	0.000407906	0.000384282	0.003555669
944.5	0.000900478	0.00052307	-0.000108889	0.003724513
944	0.000882736	0.000598396	5.63E-05	0.0038372
943.5	0.000973158	0.000717239	9.88E-05	0.004023931
943	0.001104306	0.00079208	-0.000105407	0.004259932
942.5	0.001125822	0.000979626	0.00157303	0.004445173
942	0.001149337	0.000963646	-0.000992152	0.004787529
941.5	0.001295876	0.000985423	-0.000718898	0.00509841
941	0.001354496	0.001052729	0.00064241	0.005426357
940.5	0.001589178	0.00108343	0.000472289	0.00599092
940	0.00172242	0.000926405	-0.000327558	0.006465909
939.5	0.001820999	0.000828514	-0.000438339	0.006993393
939	0.002052526	0.00067856	-0.00066161	0.00769564
938.5	0.002299212	0.000676388	0.000636538	0.008375905
938	0.002497858	0.000486633	-0.000286873	0.009310951
937.5	0.002827126	0.000517966	-0.000263521	0.010488557
937	0.0032418	0.000530296	-0.000456829	0.011794012
936.5	0.003782429	0.000384591	0.001307642	0.013305717
936	0.004462474	0.000515681	0.000344133	0.01517209
935.5	0.005062529	0.000395998	-0.001277098	0.017422657
935	0.005948019	0.000528913	-0.000234977	0.020036684
934.5	0.006748763	0.000478804	8.73E-05	0.023372043
934	0.007600436	0.000623025	0.000806095	0.027380448
933.5	0.008377151	0.000502982	-0.000950359	0.032084566
933	0.008768383	0.000480259	0.000798827	0.038150877
932.5	0.009040458	0.000486636	0.000208169	0.045365091
932	0.009038335	0.000638403	-9.70E-05	0.055079889
931.5	0.008781769	0.000649066	-7.23E-05	0.066519596
931	0.008288917	0.000734477	-0.000210826	0.081890136
930.5	0.007599344	0.000818674	-0.000495605	0.100854576
