,BJD_TDB,Flux,Err,Airmass,sky(ADU),DX(pix),DY(pix),FWHM(pix),PEAK(ADU)
121,2459206.82228585,1.0019870000000002,0.0016649999999999998,1.1639,251.1,-0.201,-1.8,3.47,81334.4
122,2459206.823275819,1.001028,0.001662,1.1625,249.3,-0.473,-1.675,3.75,71659.0
123,2459206.824257789,1.000091,0.001661,1.1612,249.5,-0.688,-1.982,3.62,74424.8
124,2459206.825240758,0.999201,0.0016600000000000002,1.1599,248.9,-0.703,-1.587,3.44,79651.9
125,2459206.826228727,1.003519,0.0016690000000000001,1.1586,249.1,-0.37,-2.336,3.72,73686.1
126,2459206.827210696,1.00073,0.0016710000000000002,1.1574,251.5,-0.165,-2.484,3.95,63698.3
127,2459206.828199665,0.998873,0.001673,1.1562,253.8,-0.5920000000000001,-2.13,3.76,67885.3
128,2459206.829225633,1.001827,0.001678,1.1549,255.4,-0.304,-2.515,4.01,60874.2
129,2459206.830208602,1.0004709999999999,0.0016829999999999998,1.1538,257.5,-0.629,-2.1790000000000003,3.92,61559.1
130,2459206.831189572,1.001403,0.0016820000000000001,1.1527,261.2,-0.703,-1.994,4.12,62391.9
